Name,dist_gaia,e_dist_gaia,Per,Mode,RAdeg,DEdeg
AA____Mon,3185.7279388340235,151.21804957533718,3.9381476,False,104.34904133924,-3.84333603279
AD____Cru,3414.134516899966,153.8633505595139,6.3972335,False,183.24856425679,-62.09682348717
AE____Vel,2832.0589068252616,97.04874706004364,7.1339448,False,144.21440532679,-53.03277856562
AG____Cru,1347.3457289140395,36.12527570999312,3.837276,False,190.35841821391,-59.79418647823
AP____Pup,1097.694840834248,23.978185541561665,5.0842863,False,119.44026790303,-40.12333658753
AP____Sgr,846.3817181548878,17.19268845728844,5.0580832,False,273.26040331964,-23.11729473325
AP____Vel,1883.2391713747645,45.04168961848639,3.1277594,False,129.94061197026,-43.86085351062
AQ____Car,2853.0670470756063,126.16986735216463,9.7695137,False,155.34567308597,-61.07407529178
AS____Cas,3117.206982543641,133.122617498014,3.0245807,False,6.40720321478,64.22989095514
AS____Per,1632.6530612244896,42.91545346795097,4.9719057,False,64.94524474253,48.95326102831
AT____Pup,1692.0473773265653,45.5220894633045,6.6649973,False,123.09332136279,-36.94374167099
AW____Cas,2568.0534155110427,125.96255323849836,4.2782594,False,19.00501795289,61.6207052192
AW____Per,946.4319515426841,25.707549405480837,6.4634539,False,71.9429804233,36.72278112168
AX____Vel,1470.5882352941176,37.62975831396851,3.6732894,False,122.70547092229,-47.69852752694
AY____Car,3562.522265764161,153.56793438606763,5.5732683,False,158.63078840032,-59.80853832262
AY____Cas,2585.9839668994055,106.32828414334725,2.8715563,False,24.74993790567,64.9892375522
AY____Cen,1782.5311942959,45.43706941231744,5.3094716,False,171.2739188858,-60.73461169167
AY____Sgr,1988.4668920262477,73.93981045815005,6.5696422,False,275.82979378305,-18.57477358789
BB____Sgr,868.357068426537,17.870843300967532,6.6360805,False,282.74947248862,-20.29525298445
BE____Mon,2127.6595744680853,78.76867471425552,2.7055496,False,100.02325672527,7.60583514562
BF____Cas,3971.4058776806987,192.41918495902812,3.6302462,False,3.51343091888,60.98626381104
BF____Oph,866.7013347200556,18.10322603599581,4.0675349,False,256.52291020043,-26.58056513078
BG____Lac,1800.1800180018001,60.60011908951433,5.3315485,False,330.10475637179,43.44535204904
BG____Vel,965.0646593321752,15.739810847978793,6.9237971,False,137.06554453409,-51.43625401776
BK____Aur,2546.473134708429,97.26787921277,8.002431,False,77.66762373902,49.68760306511
BK____Cen,2501.250625312656,75.07505694010167,3.1738807,False,177.31664685853,-63.07857603742
BM____Pup,3579.0980672870437,169.09124635716515,7.1983699,False,117.51301067815,-28.25514040613
BP____Cas,2438.4296513045597,74.91883356841363,6.2721399,False,18.75455551661,65.59940470356
BQ____Ser,1128.286133363421,20.877685521774886,4.2710037,False,279.06642121339,4.39825268115
BR____Vul,2417.21053903795,101.08228988806263,5.1969917,False,296.64660010344,22.88975328135
BV____Mon,2876.86996547756,138.21555577921922,3.0139684,False,104.21285438226,4.51618573426
BX____Sct,2180.074122520166,103.60936636522133,6.4110044,False,282.53848712785,-4.36811775674
BZ____Cyg,2119.54217888936,61.546689005707464,10.141932,False,311.49912578441,45.30693439453
CD____Cas,2623.9832065074784,92.95138862952055,7.8013197,False,356.2609253074,63.00384591916
CD____Cyg,2728.512960436562,122.0944413934867,17.0785209,False,301.1106612854,34.11224946615
CF____Cas,3460.2076124567475,148.46565960821536,4.8750393,False,359.57487036665,61.2210537331
CH____Cas,3293.807641633729,158.39786792370373,15.0922893,False,350.61846318913,62.75714262024
CK____Cam,710.126402499645,9.732594869487436,3.2948214,False,76.63188025361,55.35351493458
CK____Sct,2223.210315695865,97.37048323332122,7.4161139,False,280.25276444138,-6.09722740672
CM____Sct,2468.5262898049864,100.54476317225085,3.9170249,False,280.6117490091,-5.34085190525
CN____Car,3058.103975535168,131.86320139775398,4.9326581,False,153.88689197974,-58.17443820997
CO____Vel,2322.8803716608595,82.55533074836264,4.2755229,False,127.42212200553,-40.33388232918
CP____Vel,4863.813229571984,236.56678603391472,9.8427028,False,132.04364074264,-48.65915229644
CR____Cep,1486.5467518953471,29.611603781808416,6.2328499,False,341.60317447817,59.44218743844
CR____Ser,1868.8095683049896,68.1027608555933,5.301366,False,272.50887793975,-13.54596188866
CS____Mon,3450.655624568668,166.69834449656952,6.7319962,False,98.04559743918,6.653060807
CS____Vel,3829.9502106472614,183.35648543268704,5.9047043,False,145.29271952315,-53.81603750378
CV____Mon,1762.1145374449338,45.95470513138729,5.3786737,False,99.27018871085,3.06396219477
CY____Car,2417.21053903795,65.44055371503336,4.2659148,False,164.46107872434,-60.74208432061
DD____Cas,3104.6258925799443,126.2669962686432,9.8129918,False,359.39564965836,62.71824065724
DF____Cas,2902.757619738752,115.43622473352403,3.8324243,False,41.1804760943,61.46469937345
DL____Cas,1808.9725036179452,89.66325368464148,8.0003072,False,7.49409611203,60.21195729734
DP____Vel,3075.0307503075032,119.1432580082356,5.4844858,False,142.56597387155,-53.05867480342
DR____Vel,1981.375074301565,52.60635066526013,11.1993194,False,142.92069032895,-49.65498878585
DW____Cas,2657.4541589157584,92.51302084281382,4.9975112,False,354.70162227675,59.39182072678
ER____Car,1164.551065564225,20.34268730990707,7.7185954,False,167.42134476018,-58.83771478223
EW____Sct,471.38682002451213,5.177388841055789,5.8229228,False,279.4629885032,-6.7967958457
EY____Car,2475.860361475613,68.04171687106738,2.8759761,False,160.59590755007,-61.16590080734
FF____Aql,524.7415647793462,19.605183659022952,4.470916,False,284.56144590723,17.36087233039
FG____Vel,3023.888720895071,115.21317790397127,6.4536452,False,143.34883899137,-52.75584510624
FM____Aql,1018.2262498727217,26.74904606340915,6.1142663,False,287.31662690693,10.55246519356
FM____Cas,2240.6453058480843,83.34015571616229,5.8088478,False,3.61765603372,56.25293038823
FN____Aql,1424.9073810202337,49.74384428895186,9.4815651,False,288.19713780419,3.55739781345
FO____Car,4037.141703673799,198.84185641631964,10.3564096,False,165.37783060162,-62.29078788532
FR____Car,3098.853424233034,135.40078740127808,10.7167444,False,168.58835863703,-60.05291804009
GH____Cyg,2570.0334104343356,95.11303128895614,7.8163294,False,299.79497615604,29.45072316718
GM____Cas,2640.612622128334,125.51102495960895,7.4677769,False,36.736205548,60.5714148129
GU____Nor,1863.2383081796163,51.727688622491684,3.4529291,False,243.72812715093,-53.33843952314
GX____Car,2235.63603845294,65.47469779477554,7.19688,False,148.85895347622,-58.42968844947
GZ____Car,2375.861249703017,55.318224098915856,4.1589077,False,155.08483001084,-59.37660856364
HL____Pup,3244.6463335496433,137.91326180598222,3.4824724,False,122.79503233457,-33.51586014164
HO____Vul,2522.704339051463,117.09828675213538,5.6309204,False,299.72293327593,24.39507946759
HS____Car,3640.3349108117945,161.67486368703845,5.0924229,False,156.14238209216,-59.53596231547
HW____Car,2594.0337224383916,82.09393204413325,9.1992766,False,159.83464908827,-61.15243140629
IQ____Nor,1963.8648860958367,68.65042049882358,8.2197994,False,228.20631607055,-54.75527921877
IT____Car,1452.643811737362,42.83653500050855,7.5330469,False,168.04212311082,-61.75486712043
J053.5926+54.6072,2694.691457828079,130.70451132550733,3.569043,False,53.59268867931,54.60724122848
J082127-3825.3,4374.4531933508315,206.66708536157614,3.9611749,False,125.36086709699,-38.42169943018
J115701-6218.7,1243.3171702101206,17.46796527859915,26.5236793,False,179.25487475416,-62.31141670787
J175258-2736.1,1326.6118333775537,33.96605116560893,4.8224613,False,268.2422873694,-27.60011548781
J180946.70-182238.2,2152.389151958674,87.55952221837117,7.2896902,False,272.44454125637,-18.37729701464
J182714-1507.1,2349.624060150376,91.64417008760627,5.5458094,False,276.8060440526,-15.11798896286
J215613.64+525909.7,4380.2014892685065,199.5361174437391,4.2369197,False,329.05684818065,52.98601253649
J311.5581+43.2128,2423.06760358614,113.90238162360436,5.9679345,False,311.55810248435,43.212861557
J323.3006+52.8836,3144.6540880503144,127.56616073428799,5.3908696,False,323.30064029695,52.88366381077
KQ____Sco,2317.497103128621,113.32372613255761,28.7030114,False,252.91060533045,-45.42670590081
LL____Pup,3070.3101013202336,118.77773204470753,5.077405,False,118.45324316066,-30.4603065681
LV____Cen,3710.5751391465674,176.23510419755956,4.9746477,False,173.32409713902,-63.2423995627
MM____Per,2905.287623474724,141.80369068573665,4.1183838,False,56.34731437909,48.08347551103
MW____Cyg,1949.317738791423,73.33690800237805,5.9545636,False,303.09510555228,32.87159966536
MY____Cen,2082.465639316951,88.4679312265825,3.7186546,False,197.76854681801,-61.6270526415
NSV24859,1520.2189115232593,36.977050379562975,5.4019,False,295.87243909933,23.17793783313
OGLE-GD-CEP-0547,2667.3779674579887,125.9338205294993,5.5170749,False,159.06148588778,-58.42102379841
OGLE-GD-CEP-0575,2384.9272597185786,93.84998705491876,6.6110492,False,161.68640622565,-60.26827408976
OX____Cam,1649.620587264929,48.166090328345064,5.0655012,False,57.10697680743,59.44226838254
OZ____Cas,1814.5527127563055,79.02243782380062,5.0791375,False,18.58138420203,62.04403207383
RR____Lac,2492.522432701894,95.67508787541597,6.4152023,False,340.36049512807,56.43277230583
RS____Cas,1658.6498590147621,38.790783624326394,6.2957128,False,354.31690503772,62.42898845585
RS____Nor,2251.745102454402,87.71716101160033,6.1981955,False,241.29146798298,-53.9194286858
RS____Pup,1756.543123133673,53.069634189251424,41.5244799,False,123.26754647233,-34.57851289632
RT____Mus,1500.6002400960385,32.65111472883156,3.0861175,False,176.13693452899,-67.30525042338
RU____Sct,2076.4119601328903,102.18223618459982,19.7042782,False,280.48492497805,-4.11066312434
RV____Sco,816.9934640522875,13.750053662834599,6.0581901,False,254.58229292949,-33.60912997578
RW____CMa,3264.7730982696703,157.74940211879135,5.7297117,False,108.29864383158,-18.73074000644
RX____Aur,1617.5994823681658,55.21085141572846,11.6257968,False,75.34662500842,39.9603810927
RY____CMa,1249.0632025980515,45.400624865954086,4.6783901,False,109.1568033685,-11.48729732864
RY____Cas,3033.060357901122,137.07187998498566,12.1410189,False,358.02927448682,58.74171978277
RY____Sco,1373.8150844896277,60.58450818505222,20.3223325,False,267.71811125846,-33.70567624871
RZ____CMa,1777.145903678692,74.53464529077088,4.255078,False,110.38689819352,-16.68721769549
RZ____Vel,1533.7423312883434,39.28450348819714,20.4009397,False,129.2554000675,-44.1146536029
R_____Cru,941.4422895876482,24.905412343386274,5.8257981,False,185.9069467946,-61.62912882684
R_____Mus,938.4384384384383,15.411667363543339,7.5102427,False,190.52088709397,-69.40756401685
R_____TrA,648.0041472265423,6.760541182429689,3.3892374,False,229.94041081217,-66.49607633683
SS____CMa,3490.4013961605588,154.722852340403,12.3541042,False,111.5299604448,-25.25729744226
SS____Sct,1112.9660545353368,28.118341741675067,3.6713516,False,280.93130508578,-7.73109359922
ST____Tau,1134.8161597821154,43.7854647406283,4.034304,False,86.26316893008,13.57635184119
ST____Vel,2690.341673392521,108.56907236717913,5.8582837,False,131.23285441361,-50.56001943799
SV____Vel,2374.7328425552128,98.68873170659607,14.0980332,False,161.23471883684,-56.28954228003
SW____Cas,2292.0009168003667,65.14052758329727,5.4407811,False,346.79198165636,58.55419147277
SW____Vel,2475.247524752475,112.73404818333873,23.4069247,False,130.91118029355,-47.4030901241
SX____Car,1998.8007195682592,87.49497473478316,4.8600155,False,161.52428498086,-57.54752081569
SX____Vel,2039.983680130559,77.82067444254221,9.5506149,False,131.22275782118,-46.34296046547
SY____Aur,2343.017806935333,109.79464641821949,10.14465,False,78.16345237446,42.83178007665
SY____Cas,2488.8003982080636,78.04600562024943,4.07133,False,3.79086871838,58.42428046193
SZ____Aql,2040.3999183840033,83.26463467771929,17.1413213,False,286.16423460279,1.30614320294
SZ____Cas,2677.376171352075,124.72917278666863,13.6405457,False,36.80736432266,59.46060106495
SZ____Cyg,2388.915432393693,70.76577212724503,15.1176653,False,308.22621041712,46.6012487157
S_____Cru,755.0018875047188,13.45265776944922,4.6897859,False,193.59157470683,-58.43063287086
S_____Nor,928.1603861147207,18.866449325168603,9.75411,False,244.7159519047,-57.89980282729
S_____TrA,907.9353550027239,17.72345269247669,6.3235992,False,240.29462689967,-63.77654925354
TT____Aql,1038.7451958034694,24.16941057063426,13.7547268,False,287.05728923954,1.29863144782
TU____Cas,1008.8781275221953,23.511990132648997,2.1394136,False,6.58104599491,51.28034347101
TV____CMa,2545.1768897938405,94.57771307478436,4.6700971,False,107.31421056695,-13.7860883122
TX____Cyg,1257.2290671360322,29.399623755226802,14.7071368,False,315.02658089008,42.59755012053
TY____Sct,3049.710277523635,150.6718748929857,11.0540745,False,280.53296920017,-4.29349280288
T_____Ant,3395.585738539898,163.72603667563737,5.8983587,False,143.46187626631,-36.61573570506
T_____Cru,826.0366760284157,9.689179643085016,6.7333343,False,185.33792933507,-62.28163515188
T_____Vel,1074.229240519927,18.348099605886834,4.6398383,False,129.42006775171,-47.36194868437
T_____Vul,592.2416345869115,20.41365954966443,4.4355444,False,312.86767706102,28.25048193691
UU____Mus,3430.5317324185253,142.39942963067227,11.6362512,False,178.07378070609,-65.4041820158
UX____Car,1558.3606046439145,46.384114589213524,3.682172,False,157.29678655879,-57.61339131549
UY____Car,2265.0056625141565,69.25838558798335,5.5437621,False,158.01836868114,-61.78261610281
UY____Per,2640.612622128334,104.592522964327,5.3651845,False,38.63041573864,58.83161759476
UZ____Car,2583.311805734952,85.42079637840374,5.204631,False,159.07420759086,-61.01255683047
UZ____Cen,1565.4351909830932,37.493986470470844,3.3343089,False,175.24384278025,-62.69247434508
U_____Car,1808.3182640144664,73.90234010181659,38.8377267,False,164.45072523345,-59.73217920344
U_____Nor,1675.3224995811695,54.16941780052983,12.6452592,False,235.58714333319,-55.31194067495
U_____Sgr,637.2267890142102,9.095698441957461,6.745226,False,277.97220951561,-19.1250998575
U_____TrA,1056.970721911003,21.338272870938994,2.568423,False,241.82916988707,-62.91057283416
V1013_Cas,3387.533875338753,149.18001791331702,3.7555413,False,20.42651996366,61.76872542266
V1020_Cas,3007.518796992481,145.62723129706356,4.7428475,False,353.16241135014,63.06920911366
V1154_Cyg,2376.9907297361538,64.97597681268279,4.9254526,False,297.06443323834,43.12691706661
V1162_Aql,1270.9710218607015,36.99191239620089,5.3757961,False,298.08749761841,-11.3669243656
V1210_Cen,2115.0592216582063,68.44417570678559,4.3174795,False,219.23146558346,-58.26145857653
V1344_Aql,936.0666479453337,16.122462514633057,7.4767255,False,287.99653924734,4.3548290869
V1543_Cyg,2778.5495971103082,98.04828968281099,2.0303144,False,315.06583373822,48.44936661894
V1662_Cyg,2911.2081513828234,144.07726714146048,8.7238149,False,312.75343134545,43.13987647669
V1803_Aql,1763.9795378373612,59.43201233963944,8.6279483,False,290.02896802378,12.79526506655
V1954_Sgr,2383.2221163012396,108.48317578761717,6.1791567,False,273.85943862951,-20.62955296707
V2201_Cyg,2082.899395959175,59.87088384114577,2.4183067,False,316.07011213765,49.74440189882
V2340_Cyg,3657.64447695684,177.9322262639903,7.9662733,False,322.1871797264,48.978210888
V336__Aql,2116.8501270110078,85.58813669142577,7.3041815,False,285.33220795089,0.14700310624
V339__Cen,1821.8254691200582,70.0319121391052,9.4665925,False,215.4522341845,-61.54966230635
V342__Cas,3724.3947858472998,184.4858463787881,3.9196343,False,345.33800577937,57.86701629686
V367__Sct,2354.603249352484,113.10079590311987,6.2931858,False,278.39681413302,-10.42725850603
V367__Sge,1653.9861065167051,56.62837045901383,4.842732,False,289.97146033369,17.240465561
V376__Mon,2474.6349913387776,111.45349837537114,1.6519572,False,102.20009878668,-3.60465991313
V381__Cen,1250.625312656328,30.968460550797598,5.0788564,False,207.68448771529,-57.58050979632
V383__Cyg,1790.8309455587391,42.97481005366833,4.6125304,False,307.24231813275,34.13508347834
V386__Cyg,1157.6753878212548,16.752654044222655,5.2575934,False,318.66846943872,41.716336531
V396__Cyg,2277.385561375541,113.58402165681096,33.2547081,False,304.052817462,42.10869162328
V397__Nor,3239.3909944930356,160.55290733953169,6.8126513,False,243.98143545539,-51.12072866766
V402__Cyg,2591.3449080072555,75.20876375958738,4.3647334,False,302.28231841529,37.15195204657
V412__Ser,1815.541031227306,89.65634840973406,5.1217827,False,273.56595401303,-9.33906338223
V438__Cyg,2028.809089064719,65.03384471366212,11.2099429,False,304.72629821519,40.06447451486
V440__Per,1073.191672032625,28.447988029534798,7.57,False,35.96558685447,55.36485100844
V458__Sct,1876.5246762994932,52.8201717307909,4.8418382,False,275.61278411365,-10.12477175468
V459__Cyg,2816.1081385525204,107.06128092536224,7.2514018,False,317.72653587334,49.14204142755
V482__Sco,1041.5581710238516,27.22957015287624,4.5264437,False,262.70158664368,-33.60991807977
V493__Aql,2302.025782688766,91.6782849772907,2.9877424,False,284.35110648722,-0.73023904598
V495__Cyg,2495.632642874969,110.23882484887365,6.7168861,False,303.99301316376,35.01469729736
V496__Aql,1062.6992561105208,38.7360084242114,6.8070785,False,287.08654406189,-7.43776920988
V496__Cen,1840.2649981597351,44.02547933322431,4.4241128,False,195.79448734785,-60.87746857333
V500__Sco,1528.584530724549,57.01232318848085,9.316839,False,267.15626346125,-30.47596793659
V514__Cyg,2008.0321285140562,52.41851046039943,5.0988163,False,311.55229593356,45.4786058756
V520__Cyg,2439.0243902439024,69.60142583346382,4.0491705,False,313.73969865251,47.53378952313
V520__Vel,2398.6567522187574,105.29004546035686,12.9592684,False,129.04735518392,-39.061754307
V527__Vel,2911.2081513828234,126.27947881828771,6.6283236,False,136.14871432958,-46.5536374486
V529__Cep,3588.0875493362037,163.50452574762497,5.8690526,False,343.69708025846,57.79064133889
V536__Vel,3665.6891495601176,167.9659642679226,7.6433684,False,141.99085798185,-52.31620768179
V537__Vel,3345.6005352960856,147.74816603082078,3.3679806,False,142.52115508111,-51.62362438409
V538__Cyg,2707.092582566324,127.51329615108482,6.1183466,False,324.36718023876,51.76247225823
V600__Aql,2052.966536645453,79.65729139209225,7.2388599,False,290.25978306915,8.51632750768
V636__Sco,868.7342541916428,25.28242397736807,6.7969511,False,260.69365384219,-45.61428870593
V690__Car,3390.97999321804,137.98494497227284,4.1505759,False,147.11167690497,-58.01813537049
V701__Car,2447.980416156671,104.87064250949939,4.0892288,False,152.30668209633,-57.2425888478
V724__Pup,3357.9583613163195,129.67267034987876,5.564072,False,118.43777753767,-36.97038424396
V729__Pup,3658.982802780827,143.253266141062,4.0886506,False,121.29596559335,-34.36026643419
V730__Pup,2819.28390188892,90.61132512960383,3.5789952,False,122.60325138558,-38.4737272989
V737__Cen,835.8408559010365,13.134242614726263,7.0659398,False,219.29984456354,-62.01091660198
V773__Sgr,1656.1775422325272,68.02451842832292,5.7483564,False,268.57334403093,-26.75821388806
V825__Cas,4568.296025582457,210.7802104214612,3.7340527,False,6.32568743878,60.76477634449
V846__Cas,3891.0505836575876,177.1412085361666,3.8712267,False,353.3345420259,61.11907042193
V854__Car,1793.400286944046,64.96894617154932,5.0706404,False,152.6533201267,-58.29636477553
V901__Cep,2860.411899313501,141.5478462329969,8.9755101,False,340.04315681498,60.56380141985
V901__Mon,224.48200776707748,4.762060125019086,2.2657992,False,96.85520952704,1.19225365462
V911__Cep,3302.5099075297226,154.87331899614168,4.2783954,False,342.09617531595,60.40476329379
V912__Aql,1275.6729174639622,34.33690264142845,4.4004867,False,282.06800628578,0.81764093741
V997__Cas,2946.3759575721865,143.23866539927678,7.6774648,False,356.18159284997,61.28273121946
VV____Cru,3549.8757543485976,163.82103570707363,6.1210726,False,185.88240108723,-64.47088908285
VW____Cru,1389.0818169190165,30.67981967026771,5.2651814,False,188.32774679607,-63.50636980677
VX____Cyg,3474.6351633078525,155.74286007258027,20.1343606,False,314.33678002732,40.17748649759
VX____Per,2750.2750275027506,127.07540928096284,10.8792785,False,31.95200190538,58.44353350743
VX____Pup,1523.4613040828763,50.132183153200195,3.011783,False,113.15269930334,-21.93042761719
VY____Car,1806.684733514002,54.510631028615826,18.8900259,False,161.13616016361,-57.56535723495
VY____Cyg,2187.2265966754157,59.321108000282415,7.8575841,False,316.06930218182,39.97223311596
VY____Per,2244.1651705565528,87.63122647242137,5.5319054,False,36.89776104185,58.91715104777
VZ____Cyg,1923.076923076923,60.65088787154685,4.8647985,False,327.92264896468,43.13402308887
V_____Car,1261.5112905260503,22.120608708056857,6.6967453,False,127.18202311384,-60.12256315649
V_____Cen,719.527989638797,11.441623516343679,5.4940002,False,218.13779279681,-56.88774644776
V_____Lac,2116.4021164021165,71.6665300969591,4.9825772,False,342.15828864485,56.32153324908
V_____Vel,1058.2010582010582,19.48433721830749,4.3710577,False,140.56728700328,-55.96025800321
WW____Car,1949.6977968414894,67.66352102834449,4.6768391,False,162.89898382019,-59.38499263907
WX____Pup,2713.70420624152,110.46285531555647,8.9363892,False,115.49583823728,-25.87616986726
WZ____Sgr,1741.5534656913967,84.01433324356206,21.8532997,False,274.24882157138,-19.07583147548
W_____Gem,1028.4891494394733,29.829676595348324,7.9128942,False,98.73938107213,15.33046066377
XX____Car,3418.803418803419,169.47913896141412,15.7070571,False,164.28833612032,-65.13474394719
XX____Cen,1812.9079042784626,86.10983946462335,10.9526746,False,205.07765290606,-57.61318392067
XX____Sgr,1455.6040756914117,57.41902652606704,6.4243335,False,276.18541940721,-16.79717387453
XX____Vel,3447.0872113064456,149.71836924840875,6.984581,False,159.03578076992,-56.04322576617
XY____Car,2646.202699126753,95.23248792073275,12.4360971,False,165.56688072032,-64.262892833
XY____Cas,2457.6062914721065,88.78548270608961,4.5017086,False,12.47192037703,60.12737898732
XZ____Car,2171.5526601520087,84.88153355067543,16.6528143,False,166.05606746912,-60.97991402523
X_____Cru,1568.1354869060685,46.72192769823847,6.2201526,False,191.59277853009,-59.12472733986
X_____Cyg,1130.965844831486,25.453766114777512,16.3512537,False,310.85076233271,35.58777650649
X_____Sct,1677.8523489932886,54.05162186374225,4.1980485,False,277.83228317708,-13.10818493797
X_____Sgr,356.4172933670742,17.784660257273284,7.0130211,False,266.89007492147,-27.83083461775
X_____Vul,1195.886151638364,30.748090329358224,6.3196496,False,299.36918285728,26.5564491634
YZ____Sgr,1214.3290831815423,35.685201765340715,9.5537875,False,282.36912121969,-16.72304157114
Y_____Aur,1975.8940920766647,66.37068047970068,3.8595469,False,82.16349483157,42.43772581388
Y_____Lac,2447.980416156671,77.30464734606348,4.3233568,False,332.26206158309,51.04584489597
Y_____Oph,761.8467164406521,21.010858246051637,17.1294208,False,268.16124433489,-6.1435971224
Y_____Sct,1928.6403085824495,75.50896819971788,10.3414413,False,279.51377343258,-8.36894716336
Y_____Sgr,506.3803929511849,14.87242350924411,5.773383,False,275.34576074156,-18.86003402735
Z_____Lac,2055.076037813399,87.84542067999625,10.8856559,False,340.21724149798,56.82945573799
bet___Dor,341.20376688958646,16.19402349659674,9.8422891,False,83.4063106733,-62.48976923943
del___Cep,281.286039773846,11.670470316555738,5.3662532,False,337.2928846512,58.41520817274
